Version,Date,Script,Category,Problem,Root Cause,Solution,Impact,Breaking Change,Detailed Description,,,,,
1.0.0,2026-02-04,All,Initial,N/A,N/A,Initial multi-service AI platform deployment,Created 26-service platform,No,"Created initial deployment system with Ollama, LiteLLM, Open WebUI, PostgreSQL, Redis, vector databases (Qdrant, ChromaDB, Weaviate), MinIO, N8N, monitoring (Prometheus, Grafana, Loki), AI platforms (AnythingLLM, Dify with 4 services), and optional Tailscale VPN",,,,,
2.0.0,2026-02-04,Script 2,Architecture,Services hard-coded configuration,Inflexible deployment parameters with hard-coded values in compose file,Implemented environment-based configuration using .env file for all service parameters,All service parameters now configurable via environment variables,No,"Moved all hard-coded values (ports, passwords, keys, hostnames) to environment variables loaded from .env file, enabling dynamic configuration without code changes",,,,,
3.0.0,2026-02-04,Script 2,Networking,Port conflicts on shared systems,Fixed port assignments cause conflicts when ports already in use by other services,Dynamic port allocation with conflict detection using netstat checks and auto-increment to find available ports,Automatically resolves port conflicts by finding next available port,No,"Added allocate_dynamic_ports() function that checks each service's desired port, detects conflicts using netstat, auto-increments to find free port, updates .env file, and logs all changes",,,,,
4.0.0,2026-02-04,Script 2,Integration,No remote access capability,Missing VPN/remote access solution for secure external connectivity,Added optional Tailscale configuration with interactive setup prompting for auth key and hostname,Enables secure remote access to all services via Tailscale mesh network,No,"Implemented configure_tailscale() function with interactive prompts for auth key (from Tailscale admin), hostname configuration, .env updates, and optional Tailscale container in docker-compose",,,,,
5.0.0,2026-02-04,Script 2,AI Models,Limited Ollama model selection,Hard-coded model list (llama3.2:1b and 3b only) limits AI capabilities,Interactive model selection from 12 available models with size/capability information,Users can select any combination of 12 models based on needs and resources,No,"Added configure_ollama_models() with menu of 12 models (llama3.2 variants, qwen2.5, mistral, phi3, gemma2, codellama, deepseek-coder, embeddings), displays sizes, prompts for selection, validates input, updates OLLAMA_MODELS in .env",,,,,
6.0.0,2026-02-04,Script 2,Routing,No LLM routing optimization,Single model per request with no intelligent distribution or fallback,LiteLLM routing strategies: simple-shuffle,least-busy,usage-based,latency-based,Intelligent request routing based on load,cost,or latency optimization,No,"Implemented configure_litellm_routing() with 4 routing modes, interactive selection, updates LITELLM_ROUTER_MODE, includes fallback configuration and retry logic"
7.0.0,2026-02-04,Script 2,API,No external LLM providers,Local-only deployment limits model access to Ollama models,Added 5 external API integrations: OpenAI,Anthropic,Google,Groq,DeepSeek,Hybrid deployment supporting both local and cloud AI models,No,"Added configure_external_apis() function with interactive prompts for API keys (masked input), validation, secure storage in .env, support for GPT-4, Claude 3, Gemini Pro, Groq, DeepSeek",
8.0.0,2026-02-04,Script 2,Configuration,Manual LiteLLM config,Error-prone manual YAML configuration for LiteLLM model routing,Auto-generated config.yaml from user selections and environment variables,Eliminates configuration errors and ensures consistency with selections,No,"Created generate_litellm_config() function that dynamically generates config.yaml with model_list (Ollama + external APIs), router_settings (strategy, retries, timeout), rate limiting config, all based on .env values",,,,,
9.0.0,2026-02-04,Script 2,Monitoring,No service health visibility,Missing observability stack prevents monitoring service health and performance,Added complete observability: Prometheus (metrics),Grafana (dashboards),Loki (logs),Complete visibility into all service health,performance,and logs,No,"Deployed Prometheus for metrics collection with scrape configs for all services, Grafana with auto-provisioned datasources and dashboards, Loki for log aggregation, all integrated and accessible via web UIs",
10.0.0,2026-02-04,Script 2,Storage,No object storage,Missing file/object storage prevents model storage and file management,Added MinIO S3-compatible object storage with console interface,Provides S3-compatible storage for models,files,backups,No,"Deployed MinIO with persistent volume, admin console on separate port, S3 API compatibility, credential generation, integration with AI platforms for model storage",,,
