time="2026-03-12T01:19:06Z" level=warning msg="The \"SIGNAL_VERIFICATION_CODE\" variable is not set. Defaulting to a blank string."
caddy-1  | 2026-03-12T01:02:54.778778567Z {"level":"info","ts":1773277374.7772844,"msg":"maxprocs: Leaving GOMAXPROCS=2: CPU quota undefined"}
caddy-1  | 2026-03-12T01:02:54.778807666Z {"level":"info","ts":1773277374.7773137,"msg":"GOMEMLIMIT is updated","GOMEMLIMIT":7378182144,"previous":9223372036854775807}
caddy-1  | 2026-03-12T01:02:54.778811428Z {"level":"info","ts":1773277374.777319,"msg":"using config from file","file":"/etc/caddy/Caddyfile"}
caddy-1  | 2026-03-12T01:02:54.778813997Z {"level":"info","ts":1773277374.7773223,"msg":"adapted config to JSON","adapter":"caddyfile"}
caddy-1  | 2026-03-12T01:02:54.778816452Z {"level":"warn","ts":1773277374.7773259,"msg":"Caddyfile input is not formatted; run 'caddy fmt --overwrite' to fix inconsistencies","adapter":"caddyfile","file":"/etc/caddy/Caddyfile","line":4}
caddy-1  | 2026-03-12T01:02:54.785142716Z {"level":"info","ts":1773277374.7842631,"logger":"admin","msg":"admin endpoint started","address":"localhost:2019","enforce_origin":false,"origins":["//127.0.0.1:2019","//localhost:2019","//[::1]:2019"]}
caddy-1  | 2026-03-12T01:02:54.785183752Z {"level":"info","ts":1773277374.7845638,"logger":"http.auto_https","msg":"automatic HTTPS is completely disabled for server","server_name":"srv0"}
caddy-1  | 2026-03-12T01:02:54.789158099Z {"level":"info","ts":1773277374.7887316,"logger":"tls.cache.maintenance","msg":"started background certificate maintenance","cache":"0x1c28a78e5580"}
caddy-1  | 2026-03-12T01:02:54.802011847Z {"level":"info","ts":1773277374.8015318,"logger":"http","msg":"enabling HTTP/3 listener","addr":":443"}
caddy-1  | 2026-03-12T01:02:54.805720674Z {"level":"info","ts":1773277374.8054674,"msg":"failed to sufficiently increase receive buffer size (was: 208 kiB, wanted: 7168 kiB, got: 416 kiB). See https://github.com/quic-go/quic-go/wiki/UDP-Buffer-Sizes for details."}
caddy-1  | 2026-03-12T01:02:54.810494394Z {"level":"info","ts":1773277374.8099585,"logger":"http.log","msg":"server running","name":"srv0","protocols":["h1","h2","h3"]}
caddy-1  | 2026-03-12T01:02:54.813701831Z {"level":"warn","ts":1773277374.813498,"logger":"tls","msg":"unable to get instance ID; storage clean stamps will be incomplete","error":"mkdir /data/caddy: permission denied"}
caddy-1  | 2026-03-12T01:02:54.815745738Z {"level":"error","ts":1773277374.8153253,"logger":"tls","msg":"could not clean default/global storage","error":"unable to acquire storage_clean lock: creating lock file: open /data/caddy/locks/storage_clean.lock: no such file or directory"}
caddy-1  | 2026-03-12T01:02:54.816606389Z {"level":"info","ts":1773277374.8153584,"logger":"tls","msg":"finished cleaning storage units"}
caddy-1  | 2026-03-12T01:02:54.818191985Z {"level":"info","ts":1773277374.8177342,"msg":"autosaved config (load with --resume flag)","file":"/config/caddy/autosave.json"}
caddy-1  | 2026-03-12T01:02:54.818209161Z {"level":"info","ts":1773277374.8177545,"msg":"serving initial configuration"}
