time="2026-03-12T01:03:21Z" level=warning msg="The \"OPENCLAW_ADMIN_PASSWORD\" variable is not set. Defaulting to a blank string."
grafana-1  | 2026-03-12T01:03:13.231791375Z logger=auth t=2026-03-12T01:03:13.231652745Z level=debug msg="Starting cleanup of external sessions"
grafana-1  | 2026-03-12T01:03:13.232898893Z logger=auth t=2026-03-12T01:03:13.23272666Z level=debug msg="Cleanup of orphaned external sessions done" count=0
grafana-1  | 2026-03-12T01:03:13.232912086Z logger=infra.lockservice t=2026-03-12T01:03:13.23277496Z level=debug msg="Execution finished" actionName="cleanup expired auth tokens" duration=2.65585ms
grafana-1  | 2026-03-12T01:03:13.232915117Z logger=infra.lockservice t=2026-03-12T01:03:13.232815311Z level=debug msg="LockAndExecute finished" actionName="cleanup expired auth tokens" acquiredLock=true duration=169.455826ms
grafana-1  | 2026-03-12T01:03:13.241320730Z logger=ngalert t=2026-03-12T01:03:13.24115027Z level=debug msg="ListAlertInstances called" rule_uid= org_id=1
grafana-1  | 2026-03-12T01:03:13.269429988Z logger=infra.lockservice t=2026-03-12T01:03:13.269222606Z level=debug msg="Start execution" actionName="migrate API keys to service accounts"
grafana-1  | 2026-03-12T01:03:13.269453755Z logger=serviceaccounts t=2026-03-12T01:03:13.269278244Z level=debug msg="Starting to migrate API keys to service accounts"
grafana-1  | 2026-03-12T01:03:13.270021846Z logger=serviceaccounts t=2026-03-12T01:03:13.26988341Z level=debug msg="Migrating API keys for an org" orgId=1
grafana-1  | 2026-03-12T01:03:13.271371154Z logger=serviceaccounts t=2026-03-12T01:03:13.271181185Z level=debug msg="No API keys found to migrate" orgId=1
grafana-1  | 2026-03-12T01:03:13.271553171Z logger=infra.lockservice t=2026-03-12T01:03:13.271226535Z level=debug msg="Execution finished" actionName="migrate API keys to service accounts" duration=2.010641ms
grafana-1  | 2026-03-12T01:03:13.271562745Z logger=infra.lockservice t=2026-03-12T01:03:13.271244637Z level=debug msg="LockAndExecute finished" actionName="migrate API keys to service accounts" acquiredLock=true duration=69.836294ms
grafana-1  | 2026-03-12T01:03:13.275797991Z logger=ngalert t=2026-03-12T01:03:13.275611715Z level=debug msg="ListAlertInstances completed" instances=0
grafana-1  | 2026-03-12T01:03:13.277980768Z logger=ngalert.state.manager t=2026-03-12T01:03:13.277787678Z level=info msg="State cache has been initialized" states=0 duration=207.208842ms
grafana-1  | 2026-03-12T01:03:13.279075455Z logger=ngalert.scheduler t=2026-03-12T01:03:13.277916194Z level=info msg="Starting scheduler" tickInterval=10s maxAttempts=3
grafana-1  | 2026-03-12T01:03:13.279266080Z logger=ngalert.state.manager.persist t=2026-03-12T01:03:13.278033138Z level=debug msg="Async: No-Op"
grafana-1  | 2026-03-12T01:03:13.280088976Z logger=ngalert.scheduler t=2026-03-12T01:03:13.279928554Z level=info msg=starting component=ticker first_tick=2026-03-12T01:03:20Z
grafana-1  | 2026-03-12T01:03:13.401331593Z logger=plugins.update.checker t=2026-03-12T01:03:13.401040524Z level=info msg="Update check succeeded" duration=345.801197ms
grafana-1  | 2026-03-12T01:03:13.401388485Z logger=plugins.update.checker t=2026-03-12T01:03:13.401137907Z level=info msg="flag evaluation succeeded" flag="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}" details="{Value:false EvaluationDetails:{FlagKey:pluginsAutoUpdate FlagType:bool ResolutionDetail:{Variant:default Reason:STATIC ErrorCode: ErrorMessage: FlagMetadata:map[]}}}"
grafana-1  | 2026-03-12T01:03:13.403739871Z logger=grafana.update.checker t=2026-03-12T01:03:13.403529091Z level=info msg="Update check succeeded" duration=359.090717ms
grafana-1  | 2026-03-12T01:03:13.475213464Z logger=plugin.angulardetectorsprovider.dynamic t=2026-03-12T01:03:13.474602481Z level=debug msg="Fetched dynamic angular detection patterns" patterns=6 duration=243.546342ms
grafana-1  | 2026-03-12T01:03:13.475832149Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.475715931Z level=debug msg="kvstore value inserted" orgId=0 namespace=plugin.angularpatterns key=angular_patterns value="[{\"Name\":\"PanelCtrl\",\"Pattern\":\"PanelCtrl\",\"Type\":\"contains\"},{\"Name\":\"ConfigCtrl\",\"Pattern\":\"ConfigCtrl\",\"Type\":\"contains\"},{\"Name\":\"app/plugins/sdk\",\"Pattern\":\"app/plugins/sdk\",\"Type\":\"contains\"},{\"Name\":\"Angular Specific Function\",\"Pattern\":\"angular.isNumber(\",\"Type\":\"contains\"},{\"Name\":\"ctrl.annotation\",\"Pattern\":\"ctrl.annotation\",\"Type\":\"contains\"},{\"Name\":\"QueryCtrl\",\"Pattern\":\"[\\\"']QueryCtrl[\\\"']\",\"Type\":\"regex\"}]"
grafana-1  | 2026-03-12T01:03:13.484898255Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.483622162Z level=debug msg="kvstore value inserted" orgId=0 namespace=plugin.angularpatterns key=last_updated value=2026-03-12T01:03:13Z
grafana-1  | 2026-03-12T01:03:13.493983774Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.490895957Z level=debug msg="kvstore value inserted" orgId=0 namespace=plugin.angularpatterns key=etag value="\"1a8-1yOry0c74BKAzc7BUbZdNV0sYic\""
grafana-1  | 2026-03-12T01:03:13.498085614Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.497827807Z level=debug msg="kvstore value not changed" orgId=0 namespace=plugin.angularpatterns key=last_updated value=2026-03-12T01:03:13Z
grafana-1  | 2026-03-12T01:03:13.498138737Z logger=plugin.angulardetectorsprovider.dynamic t=2026-03-12T01:03:13.498043964Z level=info msg="Patterns update finished" duration=426.286013ms
grafana-1  | 2026-03-12T01:03:13.540936244Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.539946259Z level=debug msg="kvstore value inserted" orgId=0 namespace=plugin.publickeys key=key-7e4d0c6a708866e7 value="-----BEGIN PGP PUBLIC KEY BLOCK-----\r\nVersion: OpenPGP.js v4.10.1\r\nComment: https://openpgpjs.org\r\n\r\nxpMEXpTXXxMFK4EEACMEIwQBiOUQhvGbDLvndE0fEXaR0908wXzPGFpf0P0Z\r\nHJ06tsq+0higIYHp7WTNJVEZtcwoYLcPRGaa9OQqbUU63BEyZdgAkPTz3RFd\r\n5+TkDWZizDcaVFhzbDd500yTwexrpIrdInwC/jrgs7Zy/15h8KA59XXUkdmT\r\nYB6TR+OA9RKME+dCJozNGUdyYWZhbmEgPGVuZ0BncmFmYW5hLmNvbT7CvAQQ\r\nEwoAIAUCXpTXXwYLCQcIAwIEFQgKAgQWAgEAAhkBAhsDAh4BAAoJEH5NDGpw\r\niGbnaWoCCQGQ3SQnCkRWrG6XrMkXOKfDTX2ow9fuoErN46BeKmLM4f1EkDZQ\r\nTpq3SE8+My8B5BIH3SOcBeKzi3S57JHGBdFA+wIJAYWMrJNIvw8GeXne+oUo\r\nNzzACdvfqXAZEp/HFMQhCKfEoWGJE8d2YmwY2+3GufVRTI5lQnZOHLE8L/Vc\r\n1S5MXESjzpcEXpTXXxIFK4EEACMEIwQBtHX/SD5Qm3v4V92qpaIZQgtTX0sT\r\ncFPjYWAHqsQ1iENrYN/vg1wU3ADlYATvydOQYvkTyT/tbDvx2Fse8PL84MQA\r\nYKKQ6AJ3gLVvmeouZdU03YoV4MYaT8KbnJUkZQZkqdz2riOlySNI9CG3oYmv\r\nomjUAtzgAgnCcurfGLZkkMxlmY8DAQoJwqQEGBMKAAkFAl6U118CGwwACgkQ\r\nfk0ManCIZuc0jAIJAVw2xdLr4ZQqPUhubrUyFcqlWoW8dQoQagwO8s8ubmby\r\nKuLA9FWJkfuuRQr+O9gHkDVCez3aism7zmJBqIOi38aNAgjJ3bo6leSS2jR/\r\nx5NqiKVi83tiXDPncDQYPymOnMhW0l7CVA7wj75HrFvvlRI/4MArlbsZ2tBn\r\nN1c5v9v/4h6qeA==\r\n=DNbR\r\n-----END PGP PUBLIC KEY BLOCK-----\r\n"
grafana-1  | 2026-03-12T01:03:13.548508502Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.547200752Z level=debug msg="kvstore value inserted" orgId=0 namespace=plugin.publickeys key=last_updated value=2026-03-12T01:03:13Z
grafana-1  | 2026-03-12T01:03:13.554467648Z logger=infra.kvstore.sql t=2026-03-12T01:03:13.554322187Z level=debug msg="got kvstore value" orgId=0 namespace=plugin.publickeys key=last_updated value=2026-03-12T01:03:13Z
grafana-1  | 2026-03-12T01:03:13.592157708Z logger=plugin.repository t=2026-03-12T01:03:13.592006838Z level=debug msg="Installing plugin from https://grafana.com/api/plugins/grafana-lokiexplore-app/versions/1.0.40/download"
grafana-1  | 2026-03-12T01:03:14.076948748Z logger=plugin.installer t=2026-03-12T01:03:14.076780283Z level=info msg="Installing plugin" pluginId=grafana-lokiexplore-app version=
