time="2026-03-12T01:03:15Z" level=warning msg="The \"OPENCLAW_ADMIN_PASSWORD\" variable is not set. Defaulting to a blank string."
postgres-1  | 2026-03-12T01:02:53.236131553Z The files belonging to this database system will be owned by user "postgres".
postgres-1  | 2026-03-12T01:02:53.236153825Z This user must also own the server process.
postgres-1  | 2026-03-12T01:02:53.236157584Z 
postgres-1  | 2026-03-12T01:02:53.236160632Z The database cluster will be initialized with locale "en_US.utf8".
postgres-1  | 2026-03-12T01:02:53.236164549Z The default database encoding has accordingly been set to "UTF8".
postgres-1  | 2026-03-12T01:02:53.236167966Z The default text search configuration will be set to "english".
postgres-1  | 2026-03-12T01:02:53.236171473Z 
postgres-1  | 2026-03-12T01:02:53.236864832Z Data page checksums are disabled.
postgres-1  | 2026-03-12T01:02:53.236879706Z 
postgres-1  | 2026-03-12T01:02:53.236883165Z fixing permissions on existing directory /var/lib/postgresql/data ... ok
postgres-1  | 2026-03-12T01:02:53.236886637Z creating subdirectories ... ok
postgres-1  | 2026-03-12T01:02:53.236889765Z selecting dynamic shared memory implementation ... posix
postgres-1  | 2026-03-12T01:02:53.346751795Z selecting default max_connections ... 100
postgres-1  | 2026-03-12T01:02:53.448429100Z selecting default shared_buffers ... 128MB
postgres-1  | 2026-03-12T01:02:54.571062741Z selecting default time zone ... UTC
postgres-1  | 2026-03-12T01:02:54.581056426Z creating configuration files ... ok
postgres-1  | 2026-03-12T01:02:55.252927118Z running bootstrap script ... ok
postgres-1  | 2026-03-12T01:02:56.760590260Z sh: locale: not found
postgres-1  | 2026-03-12T01:02:56.760634454Z 2026-03-12 01:02:56.751 UTC [22] WARNING:  no usable system locales were found
postgres-1  | 2026-03-12T01:02:59.723445917Z performing post-bootstrap initialization ... ok
postgres-1  | 2026-03-12T01:02:59.891947098Z syncing data to disk ... ok
postgres-1  | 2026-03-12T01:02:59.891973978Z 
postgres-1  | 2026-03-12T01:02:59.891979580Z 
postgres-1  | 2026-03-12T01:02:59.891984614Z Success. You can now start the database server using:
postgres-1  | 2026-03-12T01:02:59.891989193Z 
postgres-1  | 2026-03-12T01:02:59.891993385Z     pg_ctl -D /var/lib/postgresql/data -l logfile start
postgres-1  | 2026-03-12T01:02:59.891997965Z 
postgres-1  | 2026-03-12T01:02:59.892059809Z initdb: warning: enabling "trust" authentication for local connections
postgres-1  | 2026-03-12T01:02:59.892065985Z initdb: hint: You can change this by editing pg_hba.conf or using the option -A, or --auth-local and --auth-host, the next time you run initdb.
postgres-1  | 2026-03-12T01:03:00.154878701Z waiting for server to start....2026-03-12 01:03:00.154 UTC [34] LOG:  starting PostgreSQL 15.17 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
postgres-1  | 2026-03-12T01:03:00.160149725Z 2026-03-12 01:03:00.159 UTC [34] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres-1  | 2026-03-12T01:03:00.177463863Z 2026-03-12 01:03:00.176 UTC [37] LOG:  database system was shut down at 2026-03-12 01:02:59 UTC
postgres-1  | 2026-03-12T01:03:00.203323451Z 2026-03-12 01:03:00.202 UTC [34] LOG:  database system is ready to accept connections
postgres-1  | 2026-03-12T01:03:00.227750396Z  done
postgres-1  | 2026-03-12T01:03:00.227768765Z server started
postgres-1  | 2026-03-12T01:03:00.647422700Z CREATE DATABASE
postgres-1  | 2026-03-12T01:03:00.647452617Z 
postgres-1  | 2026-03-12T01:03:00.647482256Z 
postgres-1  | 2026-03-12T01:03:00.647487693Z /usr/local/bin/docker-entrypoint.sh: ignoring /docker-entrypoint-initdb.d/*
postgres-1  | 2026-03-12T01:03:00.647491963Z 
postgres-1  | 2026-03-12T01:03:00.653976039Z waiting for server to shut down....2026-03-12 01:03:00.652 UTC [34] LOG:  received fast shutdown request
postgres-1  | 2026-03-12T01:03:00.660340118Z 2026-03-12 01:03:00.660 UTC [34] LOG:  aborting any active transactions
postgres-1  | 2026-03-12T01:03:00.690009089Z 2026-03-12 01:03:00.689 UTC [34] LOG:  background worker "logical replication launcher" (PID 40) exited with exit code 1
postgres-1  | 2026-03-12T01:03:00.709655617Z 2026-03-12 01:03:00.709 UTC [35] LOG:  shutting down
postgres-1  | 2026-03-12T01:03:00.712978589Z 2026-03-12 01:03:00.712 UTC [35] LOG:  checkpoint starting: shutdown immediate
postgres-1  | 2026-03-12T01:03:00.812193951Z 2026-03-12 01:03:00.811 UTC [35] LOG:  checkpoint complete: wrote 921 buffers (5.6%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.070 s, sync=0.009 s, total=0.103 s; sync files=301, longest=0.003 s, average=0.001 s; distance=4239 kB, estimate=4239 kB
postgres-1  | 2026-03-12T01:03:00.854246583Z 2026-03-12 01:03:00.854 UTC [34] LOG:  database system is shut down
postgres-1  | 2026-03-12T01:03:00.959164099Z  done
postgres-1  | 2026-03-12T01:03:00.961605073Z server stopped
postgres-1  | 2026-03-12T01:03:00.961638182Z 
postgres-1  | 2026-03-12T01:03:00.961643209Z PostgreSQL init process complete; ready for start up.
postgres-1  | 2026-03-12T01:03:00.961647550Z 
postgres-1  | 2026-03-12T01:03:01.019927308Z 2026-03-12 01:03:01.014 UTC [1] LOG:  starting PostgreSQL 15.17 on x86_64-pc-linux-musl, compiled by gcc (Alpine 15.2.0) 15.2.0, 64-bit
postgres-1  | 2026-03-12T01:03:01.021304086Z 2026-03-12 01:03:01.014 UTC [1] LOG:  listening on IPv4 address "0.0.0.0", port 5432
postgres-1  | 2026-03-12T01:03:01.021315932Z 2026-03-12 01:03:01.014 UTC [1] LOG:  listening on IPv6 address "::", port 5432
postgres-1  | 2026-03-12T01:03:01.032102614Z 2026-03-12 01:03:01.023 UTC [1] LOG:  listening on Unix socket "/var/run/postgresql/.s.PGSQL.5432"
postgres-1  | 2026-03-12T01:03:01.036160955Z 2026-03-12 01:03:01.034 UTC [50] LOG:  database system was shut down at 2026-03-12 01:03:00 UTC
postgres-1  | 2026-03-12T01:03:01.069287175Z 2026-03-12 01:03:01.069 UTC [1] LOG:  database system is ready to accept connections
postgres-1  | 2026-03-12T01:03:03.242345345Z 2026-03-12 01:03:03.242 UTC [59] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:03:33.319017462Z 2026-03-12 01:03:33.318 UTC [67] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:04:03.415203732Z 2026-03-12 01:04:03.415 UTC [75] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:04:33.658242535Z 2026-03-12 01:04:33.658 UTC [85] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:05:03.925743801Z 2026-03-12 01:05:03.925 UTC [93] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:05:33.993473457Z 2026-03-12 01:05:33.993 UTC [101] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:06:04.096058969Z 2026-03-12 01:06:04.095 UTC [109] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:06:34.772076443Z 2026-03-12 01:06:34.748 UTC [117] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:07:05.195483972Z 2026-03-12 01:07:05.190 UTC [126] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:07:35.377732077Z 2026-03-12 01:07:35.375 UTC [134] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:08:01.141662733Z 2026-03-12 01:08:01.141 UTC [48] LOG:  checkpoint starting: time
postgres-1  | 2026-03-12T01:08:03.565215877Z 2026-03-12 01:08:03.565 UTC [48] LOG:  checkpoint complete: wrote 25 buffers (0.2%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.391 s, sync=0.006 s, total=2.425 s; sync files=11, longest=0.003 s, average=0.001 s; distance=65 kB, estimate=65 kB
postgres-1  | 2026-03-12T01:08:05.467546172Z 2026-03-12 01:08:05.467 UTC [142] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:08:35.573667053Z 2026-03-12 01:08:35.573 UTC [151] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:09:05.636956714Z 2026-03-12 01:09:05.636 UTC [159] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:09:35.700622326Z 2026-03-12 01:09:35.700 UTC [168] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:10:05.779761037Z 2026-03-12 01:10:05.779 UTC [175] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:10:35.847497235Z 2026-03-12 01:10:35.847 UTC [183] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:11:05.912059607Z 2026-03-12 01:11:05.911 UTC [191] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:11:36.036099125Z 2026-03-12 01:11:36.016 UTC [199] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:12:06.170324169Z 2026-03-12 01:12:06.170 UTC [208] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:12:36.352008855Z 2026-03-12 01:12:36.351 UTC [216] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:13:06.443945775Z 2026-03-12 01:13:06.443 UTC [224] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:13:36.559357641Z 2026-03-12 01:13:36.558 UTC [232] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:14:06.644363051Z 2026-03-12 01:14:06.643 UTC [240] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:14:36.723655007Z 2026-03-12 01:14:36.723 UTC [248] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:15:06.793564941Z 2026-03-12 01:15:06.793 UTC [257] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:15:36.853660158Z 2026-03-12 01:15:36.853 UTC [265] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:16:07.019153483Z 2026-03-12 01:16:07.018 UTC [274] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:16:37.285642415Z 2026-03-12 01:16:37.285 UTC [282] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:17:07.377934703Z 2026-03-12 01:17:07.377 UTC [291] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:17:37.741817615Z 2026-03-12 01:17:37.738 UTC [300] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:18:07.848827775Z 2026-03-12 01:18:07.848 UTC [308] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:18:37.934982988Z 2026-03-12 01:18:37.934 UTC [317] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:19:08.005665984Z 2026-03-12 01:19:08.003 UTC [326] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:19:38.096924569Z 2026-03-12 01:19:38.096 UTC [334] FATAL:  database "ds-admin" does not exist
postgres-1  | 2026-03-12T01:20:08.167458251Z 2026-03-12 01:20:08.167 UTC [342] FATAL:  database "ds-admin" does not exist
